question,topic,time,answer,correctness,workerId,assignmentId,hitId,turkSubmitTo,topic_confidence,question_confidence,comment,topic_confidence_time_delta,submit_time_delta
ObjectID(554fcf6ba54d75a50d70db65),"Reinforcement learning",2015-06-19T19:48:03.152Z,1,true,"AE5VGQ7G4FKI ","34X6J5FLPTYTZ6EJ6T7UOKHE0QJI","3RKHNXPHGVV4TMFBNBL8TQP4MT8KU9 ","https://workersandbox.mturk.com",3,4,"",807,4572
ObjectID(554fcf6ba54d75a50d70db65),"Reinforcement learning",2015-06-19T21:57:45.679Z,0,false,"AE5VGQ7G4FKI ","34X6J5FLPTYJCTZ6EJ6T7UOKHE0QJI","3RKHNXPHGVV4TMFBNBL8TQP4MT8KU9 ","https://workersandbox.mturk.com",3,1,"",1565,6083
